"album","diff_energy"
"The Lord of the Rings: The Fellowship of the Ring (Original Motion Picture Soundtrack)","0.43"
"Homesick","0.43"
"Best 1991 - 2004","0.43"
"Corazón Y Flecha","0.43"
"So (25th Anniversary Deluxe Edition)","0.43"
"Come On Over","0.43"
"Love Story","0.43"
"Hopes And Fears","0.43"
"Her Love Still Haunts Me Like a Ghost","0.43"
"Cocky","0.43"
"XX Años (En Vivo)","0.43"
"In A Time Lapse","0.43"
"Guitar Man","0.42"
"Sweat","0.42"
"Mexicana Enamorada","0.42"
"Bridging The Gap","0.42"
"Strange Days","0.42"
"Bleed American","0.42"
"Selected Ambient Works 85-92","0.42"
"Unorthodox Jukebox","0.42"
"Party Rock","0.42"
"La Trenza","0.42"
"Lo mas lejos a tu lado","0.42"
"PTSD","0.42"
"Israel & Rodolffo: Ao Vivo Em Brasília (Deluxe)","0.42"
"SUBJECT TO CHANGE","0.42"
"Ofertório (Ao Vivo)","0.42"
"Trendsetter","0.42"
"Hold Me in Your Arms","0.42"
"The Gods We Can Touch","0.42"
"Stars (Expanded Version)","0.42"
"2001","0.42"
"Raop","0.42"
"Ray Charles (aka: Hallelujah, I Love Her So)","0.42"
"QMPLE","0.42"
"Europop","0.42"
"Trip Tape","0.41"
"In The Pocket","0.41"
"Fever","0.41"
"El Camino","0.41"
"August And Everything After","0.41"
"AT.LONG.LAST.A$AP","0.41"
"Mud On The Tires","0.41"
"Fragments","0.41"
"McCartney (Archive Collection)","0.41"
"Eat A Peach","0.41"
"Stay on These Roads","0.41"
"'N Sync UK Version","0.41"
"Légende Vivante","0.41"
"Scorpion","0.41"
"Bangerz (Deluxe Version)","0.41"
"Yamadonga (Original Motion Picture Soundtrack)","0.41"
"Las Compuse para Ti","0.41"
"Bell Bottom Country","0.41"
"lovestrong.","0.41"
"Vivaldi: The Four Seasons","0.41"
"Kalank (Original Motion Picture Soundtrack)","0.41"
"Late Nights: The Album","0.41"
"Mozart: Requiem","0.40"
"Lovers Rock","0.40"
"25","0.40"
"Jab We Met","0.40"
"Coloring Book","0.40"
"Commodores","0.40"
"Business As Usual","0.40"
"HUMAN ERR0R","0.40"
"Por Primera Vez","0.40"
"Down On The Upside","0.40"
"Look Up Child","0.40"
"Dirt (2022 Remaster)","0.40"
"Full Circle","0.40"
"You Don't Mess Around With Jim","0.40"
"Feel Something","0.40"
"French Exit","0.40"
"~how i'm feeling~","0.40"
"Changes","0.40"
"Emotions","0.40"
"Dark Sky Paradise","0.40"
"Flamingos","0.40"
"K?r?k Kalpler Albümü","0.40"
"American Pie","0.40"
"Jolene (Expanded Edition)","0.40"
"At Night, Alone.","0.40"
"Chaos And The Calm","0.40"
"Half Written Story","0.40"
"Belki Al??man Laz?m","0.40"
"Songs For The Deaf","0.40"
"With A Little Help From My Friends","0.39"
"The Bath Song & More Kids Songs","0.39"
"10","0.39"
"Dirty Computer","0.39"
"Time (Spotify Exclusive)","0.39"
"Bad Blood","0.39"
"Timespace - The Best Of Stevie Nicks","0.39"
"Ten Summoner's Tales","0.39"
"KHALED KHALED","0.39"
"Pearl (Legacy Edition)","0.39"
"Parachutes","0.39"
"Sentimientos","0.39"
"El Aire De Tu Casa","0.39"
"Glee LGBTQIA+ Pride","0.39"
"Tangled Up","0.39"
"A Dense Swarm of Ancient Stars","0.39"
"Non-Stop Erotic Cabaret","0.39"
"The Miseducation of Lauryn Hill","0.39"
"Montevallo","0.39"
"Weezer","0.39"
"Discovery","0.39"
"God of War Ragnarök (Original Soundtrack)","0.39"
"Teaser And The Firecat (Remastered 2021)","0.39"
"MADE","0.39"
"Trick","0.39"
"Luv 4 Rent","0.39"
"Ephemeral","0.39"
"Surrender","0.38"
"El Mundo Se Equivoca","0.38"
"Speakerboxxx/The Love Below","0.38"
"Classics","0.38"
"Get Close (Expanded & Remastered)","0.38"
"Stick Season","0.38"
"Reencuentro","0.38"
"19","0.38"
"Always & Forever","0.38"
"Hits of A.R.Rahman Isai Saral","0.38"
"Rainbow","0.38"
"Evening Machines","0.38"
"¿Dónde Jugarán Los Niños?","0.38"
"Forever for Now (Deluxe Edition)","0.38"
"Kylie Christmas","0.38"
"Purpose (Deluxe)","0.38"
"Evet","0.38"
"Sublime","0.38"
"Conditions","0.38"
"De Mexico para el Mundo","0.38"
"Good Things","0.38"
"Numanice #2 (Ao Vivo) - Deluxe","0.38"
"Originales - 20 Exitos","0.38"
"Automatic For The People","0.38"
"X","0.38"
"Out of the Blue","0.38"
"Aleph","0.38"
"3","0.38"
"Eternamente Bella","0.38"
"How To Be A Human Being","0.38"
"Is This It","0.38"
"Everybody","0.37"
"Junk Of The Heart","0.37"
"Liquid Swords","0.37"
"MPB das Antigas","0.37"
"Feels Like Today","0.37"
"Gemini Rights","0.37"
"White Noise for Sleeping Babies","0.37"
"Weisses Herz","0.37"
"Goodnight Lovell","0.37"
"RENAISSANCE","0.37"
"Vital Signs","0.37"
"if i could make it go quiet","0.37"
"Mi Tierra","0.37"
"Palette","0.37"
"(III)","0.37"
"All I Want Is You","0.37"
"De Hoy En Adelante","0.37"
"Death of a Bachelor","0.37"
"Bella Donna (2016 Remastered)","0.37"
"Music Of The Spheres","0.37"
"c@ra++ere s?ec!@le","0.37"
"Neveroddoreven","0.37"
"Utopia 2","0.37"
"Fondo Profundo","0.37"
"I Cry When I Laugh","0.37"
"Third Eye Blind","0.37"
"Pavarotti & Friends for Cambodia and Tibet","0.37"
"Life Thru A Lens","0.37"
"Illinois","0.37"
"The Carnival","0.37"
"Tu Veneno Mortal, Vol. 2","0.37"
"Dancing On The Ceiling (Expanded Edition)","0.37"
"Louder Than Bombs","0.37"
"Mesmeric Voice - Tulsi Kumar","0.37"
"It's Almost Dry","0.37"
"Still Bill","0.37"
